earnings,EITC,CTC
0,0,0
2500,1000,0
16510,6604,2102
23833,6604,3200
27700,6604,3200
28120,6604,3242
30000,6208,3430
30000,6208,3430
34367,5288,3867
35700,5008,4000
59478,0,4000
400000,0,4000
480000,0,0
