earnings,EITC,CTC,SUM
0,0,0,0
2500,1000,0,1000
16510,6604,2102,8706
23833,6604,3200,9804
27700,6604,3200,9804
28120,6604,3242,9846
30000,6208,3430,9638
30000,6208,3430,9638
34367,5288,3867,9155
59478,0,4000,4000
400000,0,4000,4000
480000,0,0,0
