measure,White,Latine,Black,Other
Preferential rates for capital gains and dividends,135000000000,4000000000,2000000000,5000000000
Child tax credit,75000000000,24000000000,10000000000,4000000000
Earned income tax credit,33000000000,19000000000,13000000000,3000000000
Deductibility of mortgage interest,26000000000,2000000000,1000000000,1000000000
