Earnings,EITC,CTC
$0 ,$0 ,$0 
"$2,500 ","$1,000 ",$0 
"$16,510 ","$6,604 ","$2,102 "
"$23,833 ","$6,604 ","$3,200 "
"$27,700 ","$6,604 ","$3,200 "
"$28,120 ","$6,604 ","$3,242 "
"$30,000 ","$6,208 ","$3,430 "
"$30,000 ","$6,208 ","$3,430 "
"$34,367 ","$5,288 ","$3,867 "
"$35,700 ","$5,008 ","$4,000 "
"$59,478 ",$0 ,"$4,000 "
"$400,000 ",$0 ,"$4,000 "
"$480,000 ",$0 ,$0 
